Movie ,Year ,value,Release Date,Production Budget,Domestic Gross,Worldwide Gross,,,,
Avengers: Endgame,2019,Robert Downey Jr.,"Apr 23, 2019",400000000,858373000,2797800564,,,,
Avengers: Endgame,2019,Chris Evans,"Apr 23, 2019",400000000,858373000,2797800564,,,,
Avengers: Endgame,2019,Mark Ruffalo,"Apr 23, 2019",400000000,858373000,2797800564,,,,
Avengers: Endgame,2019,Chris Hemsworth,"Apr 23, 2019",400000000,858373000,2797800564,,,,
Avatar,2009,Sam Worthington,"Dec 17, 2009",237000000,760507625,2788701337,,,,
Frozen 4,2011,Josh Gad,"Nov 20, 2000",399937443,348392219,794161849,,,,
Inception 3,2011,Ken Watanabe,"Jun 20, 2022",399445013,664748760,974825690,,,,
Interstellar 3,2022,Anne Hathaway,"Jan 25, 2021",399246573,81657203,1230123612,,,,
Avengers 3,2004,Zoe Saldana,"Dec 03, 2026",398972016,171975402,756433930,,,,
Inception 1,2001,Tom Hardy,"Apr 16, 2005",398392238,625115989,1463312009,,,,
Black Panther 4,2018,Chadwick Boseman,"Jan 12, 2016",398233170,530432571,1477017707,,,,
Frozen 3,2002,Idina Menzel,"Nov 12, 2014",397945192,790337242,2076208867,,,,
Titanic 4,2014,Leonardo DiCaprio,"Nov 07, 2018",396756949,598410361,2522498518,,,,
Inception 1,2019,Elliot Page,"Apr 30, 1996",396443697,653907299,1773860490,,,,
Inception 4,2003,Elliot Page,"Mar 16, 2022",396067494,171374554,884408298,,,,
The Dark Knight 2,2016,Gary Oldman,"May 16, 1996",395233579,590008942,1417721408,,,,
The Dark Knight 4,2005,Heath Ledger,"Mar 09, 1995",395152631,898362655,1282050628,,,,
Avengers 1,2012,Jeremy Renner ,"Jan 07, 2008",395086328,270821141,1506496649,,,,
Joker 3,2014,Joaquin Phoenix,"May 22, 2020",395078961,461281702,1733008554,,,,
Interstellar 2,2001,Michael Caine,"Jan 28, 2002",394891142,622592925,913571291,,,,
Interstellar 3,2005,Matthew McConaughey,"Oct 18, 2025",394809124,735134436,1477608696,,,,
Joker 2,2013,Joaquin Phoenix,"Jun 15, 2027",394765987,582001725,938711724,,,,
Avatar 2,2018,Zoe Saldana,"Nov 09, 1996",394006531,659141899,1581772316,,,,
Avengers 4,2011,Mark Ruffalo,"May 20, 2020",393593109,70837119,1824161951,,,,
Joker 4,2015,Joaquin Phoenix,"Apr 26, 1995",393544389,193868238,1104099623,,,,
Interstellar 2,2007,Matthew McConaughey,"Jan 19, 2012",392845273,51117750,152381999,,,,
The Dark Knight 3,2014,Heath Ledger,"Nov 21, 2025",392397026,149595004,1796713054,,,,
Joker 2,2018,Joaquin Phoenix,"Jun 17, 1999",392258579,387458730,432256817,,,,
The Dark Knight 2,2023,Gary Oldman,"Mar 11, 2016",392067842,558475828,2505821664,,,,
Interstellar 2,1999,Anne Hathaway,"Sep 02, 2023",392028311,757207470,1827213885,,,,
Toy Story 4,2020,Tim Allen,"Mar 29, 2012",391779160,341666596,1112838105,,,,
Inception 1,2012,Leonardo DiCaprio,"Dec 13, 2003",391767120,187380069,2037762431,,,,
Joker 3,2012,Joaquin Phoenix,"Aug 22, 2016",390273752,531306471,1772437381,,,,
Avengers 1,2005,Jeremy Renner ,"Sep 24, 2004",389841703,484763880,1300015578,,,,
Joker 4,2005,Joaquin Phoenix,"May 28, 2015",389713779,797153024,2686741375,,,,
Avengers 2,2007,Chris Evans ,"Dec 14, 2005",389624116,694085081,2489952123,,,,
Frozen 3,2018,Idina Menzel,"Jul 01, 2023",389464396,658554148,1209808786,,,,
Titanic 1,2012,Kate Winslet,"Apr 01, 2005",389171064,64930108,1440493750,,,,
Joker 2,2011,Joaquin Phoenix,"Nov 17, 2007",388308284,63949217,1442479178,,,,
Avatar 4,1995,Zoe Saldana,"Jul 13, 2010",387732320,55940406,1851727996,,,,
Interstellar 1,2019,Michael Caine,"May 21, 1997",386815936,736830533,2009788360,,,,
Avatar 2,2000,Sam Worthington,"May 29, 2015",386407252,589538935,853161938,,,,
Toy Story 1,2014,Tim Allen,"Dec 05, 2005",386402357,684070935,994291667,,,,
The Dark Knight 4,2013,Michael Caine,"Jun 06, 2019",385671010,711886750,1983316084,,,,
Frozen 2,2004,Jonathan Groff,"Dec 27, 2015",385600141,755340386,2640579397,,,,
Interstellar 4,2017,Jessica Chastain,"Mar 01, 2005",385267984,565266219,2055581859,,,,
Toy Story 3,2013,Tom Hanks,"Nov 12, 2007",385263022,839626905,1805639355,,,,
Joker 4,1996,Joaquin Phoenix,"Sep 01, 1998",385100983,75245530,1451392231,,,,
Inception 3,2015,Leonardo DiCaprio,"Nov 11, 2020",384216719,163614225,1684574148,,,,
Inception 4,2013,Joseph Gordon-Levitt,"Jan 26, 2005",383911633,687672949,2136830150,,,,
Avengers 3,2007,Mark Ruffalo,"May 16, 2010",382707905,184889265,771079357,,,,
Inception 3,2020,Tom Hardy,"Sep 26, 2025",382612101,108803001,267566144,,,,
Joker 1,2022,Joaquin Phoenix,"Apr 18, 2017",382116858,325209823,1595470991,,,,
Interstellar 2,2018,Michael Caine,"Mar 23, 2013",381755819,443595458,2075630436,,,,
Avatar 4,2004,Sam Worthington,"Jun 06, 2024",380974285,379845727,644985966,,,,
Titanic 1,2010,Leonardo DiCaprio,"Nov 08, 2027",379337407,873282446,1179168173,,,,
Joker 1,2024,Joaquin Phoenix,"Jul 01, 2018",379281286,396803534,875351753,,,,
Toy Story 4,2006,Tom Hanks,"Jan 15, 2007",379175181,304960393,1433194315,,,,
Titanic 4,2015,Kate Winslet,"Nov 15, 2007",378668769,200874503,838402518,,,,
The Dark Knight 1,2020,Morgan Freeman,"Apr 28, 2004",378595048,418708953,1566791248,,,,
Avatar 1,2007,Kate Winslet,"May 22, 2017",378559981,649950555,1097485691,,,,
The Dark Knight 3,2004,Gary Oldman,"Mar 09, 2006",378424265,382283298,2112509978,,,,
Avatar 2,2012,Sam Worthington,"Aug 26, 1997",378068102,306214808,1173231562,,,,
Black Panther 4,2023,Danai Gurira,"Jun 20, 2027",377915107,218416942,1652994474,,,,
Joker 4,2011,Joaquin Phoenix,"Jul 20, 2011",377846952,332135196,657889394,,,,
Avengers 3,2024,Mark Ruffalo,"Jan 10, 2013",377809363,844925928,1446079335,,,,
Black Panther 4,2007,Danai Gurira,"Jun 27, 1996",377521525,52581629,1265320865,,,,
Avengers 3,1998,Chris Evans ,"May 21, 2005",377365336,75862311,2072149780,,,,
Avengers 2,2008,Jeremy Renner ,"Jul 29, 2003",377119417,449005094,665819920,,,,
Toy Story 1,2024,Tom Hanks,"Dec 10, 2024",377090442,72621129,765194874,,,,
Black Panther 4,1999,Lupita Nyong’o,"Nov 29, 2019",377038457,76570904,529535778,,,,
Black Panther 4,2005,Letitia Wright,"Dec 14, 1996",376814952,433903568,940101066,,,,
Joker 1,2011,Joaquin Phoenix,"May 21, 2003",376793368,802164195,1004905784,,,,
Frozen 4,2012,Idina Menzel,"Mar 09, 2013",376730940,854932968,2452510338,,,,
Avatar 4,1995,Sam Worthington,"Jan 20, 2009",376720668,676589666,785325778,,,,
Titanic 3,1998,Leonardo DiCaprio,"Jan 19, 2015",376569620,575409168,1106911111,,,,
Toy Story 3,2000,Annie Potts,"Dec 02, 2024",376502685,243584249,544613853,,,,
Black Panther 4,2020,Letitia Wright,"May 18, 2004",376167695,661026673,2230655917,,,,
Toy Story 4,1995,Annie Potts,"Aug 09, 2024",376118972,406809616,987073492,,,,
Avengers 2,2003,Mark Ruffalo,"Apr 21, 1995",374649898,497451275,1483914096,,,,
Avatar 1,2017,Zoe Saldana,"Nov 20, 2016",374573672,479525159,1590171354,,,,
Toy Story 4,2005,Tom Hanks,"Jan 13, 1997",374237280,429229503,835222296,,,,
Interstellar 3,2012,Anne Hathaway,"Mar 08, 2022",373690551,797932443,960610487,,,,
The Dark Knight 3,2010,Morgan Freeman,"Oct 18, 1996",373424801,637388718,1925749419,,,,
Interstellar 2,2023,Anne Hathaway,"May 10, 2000",373239293,362613680,757253383,,,,
Toy Story 2,2002,Tom Hanks,"Sep 18, 2026",373096455,138620289,749000367,,,,
Titanic 2,2015,Kate Winslet,"May 18, 1999",372317269,808729306,2421248179,,,,
Toy Story 4,2018,Tim Allen,"Mar 08, 2006",372233495,788211163,1807099827,,,,
The Dark Knight 2,1998,Morgan Freeman,"Jul 21, 2005",372076071,246434176,749255428,,,,
Titanic 3,2012,Kate Winslet,"Jun 18, 2024",372032019,715018689,1591159923,,,,
Inception 2,2020,Elliot Page,"Jun 16, 2004",371918141,547802730,1133586314,,,,
Titanic 3,1999,Leonardo DiCaprio,"Dec 08, 2014",371881828,191502170,1765919519,,,,
Inception 2,2012,Tom Hardy,"Jun 29, 2010",371830038,342647680,1107442519,,,,
Frozen 2,2020,Kristen Bell,"Jul 10, 2014",371715813,117684273,1731158046,,,,
Interstellar 1,2012,Michael Caine,"Sep 27, 2024",371645723,353727190,872355700,,,,
Interstellar 1,2003,Michael Caine,"Apr 27, 2010",371289006,833393465,1883081510,,,,
Black Panther 3,2013,Letitia Wright,"Jan 15, 2016",371262136,235433722,2140207124,,,,
Joker 1,2023,Joaquin Phoenix,"Jul 03, 2006",370953534,296893513,2103591224,,,,
Joker 1,2021,Joaquin Phoenix,"Jul 07, 2017",370767040,625390069,2579477397,,,,
Interstellar 1,2003,Jessica Chastain,"Jun 09, 2008",370021717,368078172,2198927480,,,,
Titanic 2,2003,Leonardo DiCaprio,"Mar 06, 2019",369955345,690121982,2627790698,,,,
Avatar 1,2024,Kate Winslet,"Apr 03, 2021",368831151,617536391,2411308652,,,,
Joker 1,2010,Joaquin Phoenix,"Jul 30, 2011",368818939,306530135,736209739,,,,
Toy Story 2,2019,Tom Hanks,"Jun 26, 2023",368409221,891694766,2427880973,,,,
Inception 4,2006,Joseph Gordon-Levitt,"May 11, 2012",368002307,298761063,332732961,,,,
Avatar 4,2008,Zoe Saldana,"Feb 18, 2010",367141300,72328628,1255489431,,,,
Frozen 2,2009,Kristen Bell,"Aug 09, 1996",366278157,332000939,1894990065,,,,
Frozen 1,2007,Idina Menzel,"May 31, 2006",365989640,348375657,1053083043,,,,
Avatar 4,1998,Kate Winslet,"Jun 13, 2011",365406464,499891506,1367471034,,,,
Joker 1,1998,Joaquin Phoenix,"Oct 20, 2008",365094965,735326432,751501343,,,,
Joker 3,2005,Joaquin Phoenix,"Sep 12, 1995",364740215,492911865,1420700043,,,,
Toy Story 2,2015,Tim Allen,"Jan 27, 2002",364139659,203333936,1467168709,,,,
Black Panther 2,2022,Lupita Nyong’o,"May 01, 2007",363866846,380030337,1181916374,,,,
Avengers 3,2005,Chris Evans ,"Nov 26, 2016",362765230,336021568,2228183439,,,,
Titanic 1,2013,Kate Winslet,"Apr 06, 2004",362069210,454610853,947672280,,,,Robert Downey Jr. 
Interstellar 4,2006,Matthew McConaughey,"Nov 30, 2018",361908543,120320487,1233440439,,,,
The Dark Knight 4,2019,Christian Bale,"Apr 07, 2003",359732810,606755077,2540457739,,,,Chris Evans 
Interstellar 3,2004,Michael Caine,"Nov 07, 2022",359562281,764676351,2146946732,,,,
Titanic 1,2016,Leonardo DiCaprio,"Dec 03, 2024",359491380,55311134,1715628148,,,,Chris Hemsworth 
Toy Story 3,2004,Tim Allen,"Jul 18, 2013",359318558,477031589,2193509945,,,,
Black Panther 4,2008,Letitia Wright,"Apr 03, 2023",359013112,224441498,1058352350,,,,Scarlett Johansson 
Avatar 4,2012,Kate Winslet,"May 16, 2014",358942882,298208429,850692214,,,,
Avengers 4,2022,Jeremy Renner ,"Feb 21, 1996",358381393,513327888,1661381989,,,,Mark Ruffalo
Avatar 4,2019,Zoe Saldana,"May 10, 2027",357886150,823945302,2202856261,,,,
Avengers 4,2008,Zoe Saldana,"Nov 26, 2022",357166429,77600668,1415745456,,,,Jeremy Renner 
Black Panther 3,2012,Chadwick Boseman,"Sep 17, 2006",357137092,110768156,301231599,,,,
Interstellar 1,2003,Anne Hathaway,"May 07, 1995",356928695,394843086,1181847134,,,,
Titanic 2,1996,Leonardo DiCaprio,"Aug 17, 2002",356637433,617307756,2141907033,,,,
Joker 4,2017,Joaquin Phoenix,"Oct 03, 2017",355959850,611606859,786023258,,,,
The Dark Knight 1,1996,Christian Bale,"Mar 27, 2008",355847501,61777906,1991940282,,,,
Titanic 3,2003,Kate Winslet,"Aug 16, 2003",355232607,695077887,1540437373,,,,
Frozen 2,1996,Josh Gad,"Jan 31, 2014",354365363,242677237,2007261915,,,,
Titanic 4,2001,Kate Winslet,"Jun 04, 2001",354338377,867255076,2011564689,,,,
Frozen 3,1998,Josh Gad,"Feb 13, 2019",353256525,289043002,1401297163,,,,
Black Panther 3,2021,Michael B. Jordan,"Jan 12, 2012",352763748,846187757,1346681165,,,,
Titanic 3,2016,Leonardo DiCaprio,"May 04, 2022",352101168,290449818,1789676338,,,,
Avengers 4,2003,Chris Hemsworth ,"Sep 03, 2003",351959583,376180680,1504530936,,,,
Titanic 2,1997,Leonardo DiCaprio,"May 29, 2009",351670918,328886069,1327968276,,,,
The Dark Knight 4,2021,Christian Bale,"Oct 04, 2026",351487422,695188953,1511471645,,,,
The Dark Knight 3,2014,Michael Caine,"Dec 30, 2009",351337940,741183094,2091987362,,,,
Toy Story 1,2012,Tim Allen,"Aug 26, 2007",351224646,544388225,1242437897,,,,
Joker 3,2024,Joaquin Phoenix,"Mar 05, 1999",350842550,622186873,2536928310,,,,
Titanic 2,2007,Kate Winslet,"Oct 21, 2006",350664129,737628940,2547913097,,,,
Avengers 3,2006,Robert Downey Jr. ,"Apr 19, 2019",350555553,397468906,1107202357,,,,
Avengers 2,2012,Robert Downey Jr. ,"May 20, 2000",350140438,79625448,1622717184,,,,
Black Panther 3,2024,Letitia Wright,"Jul 04, 2012",349356599,870887913,1409029237,,,,
Interstellar 3,2013,Anne Hathaway,"Oct 13, 2011",348428976,223545895,1160437430,,,,
Interstellar 3,2001,Anne Hathaway,"Jul 15, 1997",348213754,817872291,855506887,,,,
The Dark Knight 2,2018,Christian Bale,"Jan 01, 1995",347138969,159494738,1768493601,,,,
Interstellar 1,2008,Matthew McConaughey,"Sep 02, 2010",346408192,764151093,1538746021,,,,
Avatar 1,2005,Stephen Lang,"Jun 27, 2026",346396549,766373852,1387761894,,,,
Toy Story 1,2006,Tim Allen,"Jul 13, 2019",346321915,434264145,1664999909,,,,
Interstellar 1,2014,Michael Caine,"Mar 07, 2025",345827110,189559025,1076078827,,,,
Inception 1,2018,Joseph Gordon-Levitt,"Jul 07, 2000",345642667,835899387,2304104161,,,,
Avatar 4,2006,Sam Worthington,"Aug 26, 2021",344796517,360796860,2082648360,,,,
Interstellar 4,2015,Michael Caine,"Jan 31, 2011",344229875,284923844,2271102218,,,,
The Dark Knight 2,1998,Christian Bale,"Jan 06, 2014",343774072,579179783,2312539553,,,,
Avatar 3,1998,Sam Worthington,"Mar 26, 2021",342775744,526987847,1834766299,,,,
Joker 1,2014,Joaquin Phoenix,"Jan 25, 1997",341610464,857919207,1536910066,,,,
Frozen 4,2004,Kristen Bell,"Oct 29, 2020",341364009,657608113,2217241063,,,,
Titanic 4,2015,Kate Winslet,"Feb 23, 2003",340715363,898008758,1823713798,,,,
Frozen 3,2000,Josh Gad,"Nov 03, 2018",340319424,96894314,1957759973,,,,
Inception 1,2003,Tom Hardy,"Dec 06, 2021",340187501,322609221,614675678,,,,
Avengers 3,1999,Chris Hemsworth ,"Apr 16, 2017",339676087,580045505,1339769116,,,,
Titanic 2,2011,Kate Winslet,"Jan 13, 2002",339163402,659544217,1604011248,,,,
Frozen 4,2024,Josh Gad,"Jun 20, 2007",338672239,388022607,533574669,,,,
Black Panther 3,2006,Lupita Nyong’o,"Oct 13, 2022",338116522,116492215,377926977,,,,
Joker 1,2001,Joaquin Phoenix,"Jan 21, 2024",337409270,398999455,1389589147,,,,
Black Panther 4,2022,Chadwick Boseman,"Sep 07, 2016",337151104,600054327,918211274,,,,
Inception 4,2006,Elliot Page,"Nov 30, 2011",336768987,626395337,2421639996,,,,
Frozen 2,2010,Idina Menzel,"Sep 22, 1999",336545070,818803434,926397030,,,,
The Dark Knight 2,2005,Morgan Freeman,"Jan 17, 1997",336072827,639012846,1285908101,,,,
Titanic 2,2024,Kate Winslet,"Mar 06, 2002",336018868,884766721,1043694685,,,,
Interstellar 3,2020,Michael Caine,"Sep 27, 2005",335978907,898667909,1968083866,,,,
Toy Story 2,2024,Annie Potts,"Jun 25, 2009",335779693,402122418,1504411003,,,,
Frozen 4,2015,Idina Menzel,"Nov 22, 2005",335413118,156066536,223497170,,,,
Avatar 1,2017,Kate Winslet,"Jul 01, 2020",334759065,536666682,1679445340,,,,
Titanic 3,2010,Kate Winslet,"Dec 20, 2012",334512207,715465277,2108617006,,,,
Titanic 2,2015,Leonardo DiCaprio,"Sep 28, 2018",334213844,625219777,1550650195,,,,
Avengers 1,2016,Robert Downey Jr. ,"May 03, 1998",334178010,74302020,1197201930,,,,
Toy Story 4,1998,Annie Potts,"Nov 19, 2010",334160907,727302819,1402792204,,,,
Joker 2,2022,Joaquin Phoenix,"Aug 07, 2001",333859186,210940720,876041524,,,,
The Dark Knight 2,2014,Heath Ledger,"Mar 16, 2026",333499821,780511310,1838613053,,,,
Titanic 2,1998,Leonardo DiCaprio,"May 22, 2009",333285836,699244801,1635348173,,,,
The Dark Knight 3,2006,Michael Caine,"Mar 27, 2016",332599035,179627140,1440905448,,,,
Inception 1,2024,Ken Watanabe,"Jul 08, 2006",332184949,440801898,1290537266,,,,
Avatar 3,2005,Sam Worthington,"Aug 21, 2012",331673469,898352741,1148313942,,,,
Avengers 1,2018,Chris Evans ,"Jul 02, 2010",331384916,103897616,1951256685,,,,
Titanic 4,2012,Leonardo DiCaprio,"Feb 23, 2015",330905491,70913908,1212939685,,,,
Joker 3,2002,Joaquin Phoenix,"Dec 08, 1998",329862135,721856843,1093743429,,,,
Avatar 3,2011,Zoe Saldana,"Aug 14, 2026",329002256,214735810,1314559134,,,,
Interstellar 3,2024,Michael Caine,"Aug 09, 2004",328514157,487118064,662908869,,,,
Frozen 4,2018,Idina Menzel,"Jan 23, 2027",328190731,791563744,2769951712,,,,
Frozen 4,2012,Idina Menzel,"Dec 13, 2016",327881219,581814411,2230027030,,,,
Avengers 2,2002,Zoe Saldana,"Aug 18, 2022",327545627,877936165,2182289304,,,,
Joker 2,2018,Joaquin Phoenix,"Aug 12, 2012",326983214,524956058,2043750567,,,,
Frozen 2,2011,Kristen Bell,"Mar 01, 2027",326731867,256218570,1327541724,,,,
The Dark Knight 2,2012,Heath Ledger,"Nov 12, 2013",325756273,801584709,2652638352,,,,
Inception 2,2017,Tom Hardy,"Jun 27, 2005",324421764,546375005,1402067245,,,,
Toy Story 4,1995,Tim Allen,"Nov 03, 1997",324271371,588154870,1618128973,,,,
Interstellar 3,2014,Michael Caine,"Mar 13, 2019",324047593,678286449,1203632229,,,,
Frozen 4,1995,Idina Menzel,"Nov 24, 2014",323624927,229229779,1578093217,,,,
Titanic 1,2001,Kate Winslet,"Jun 29, 2015",323499713,198997872,1967288073,,,,
Joker 1,2016,Joaquin Phoenix,"Nov 14, 2001",322770950,466738098,1909584962,,,,
Titanic 2,2012,Kate Winslet,"Feb 15, 2010",322275952,456738001,1082616034,,,,
Frozen 2,2014,Idina Menzel,"May 14, 2007",322205917,753572626,1546359800,,,,
Black Panther 1,2008,Michael B. Jordan,"Apr 24, 2022",321691289,86106026,950941875,,,,
Avatar 4,2021,Zoe Saldana,"May 21, 1998",321559510,565522703,1473887443,,,,
Interstellar 1,2005,Anne Hathaway,"Oct 02, 2012",321558671,543787920,594482208,,,,
Frozen 4,2002,Idina Menzel,"Nov 06, 2005",321466757,99312256,1918569863,,,,
Toy Story 4,2001,Tom Hanks,"Jul 18, 2019",321276374,479482822,1961296913,,,,
Black Panther 2,2015,Letitia Wright,"Jan 20, 2005",320533768,136258731,736350969,,,,
The Dark Knight 4,1996,Michael Caine,"Feb 13, 2022",320172780,331509157,384680703,,,,
Frozen 4,2002,Jonathan Groff,"Apr 27, 2025",319528665,605999967,944320664,,,,
Titanic 4,2024,Kate Winslet,"Jun 16, 1998",319126483,490870591,2186222462,,,,
The Dark Knight 3,1999,Morgan Freeman,"Sep 20, 2007",317441577,800619077,2719785919,,,,
Joker 2,2021,Joaquin Phoenix,"Apr 05, 2027",317325378,791136223,1282287365,,,,
Toy Story 2,1998,Annie Potts,"Jan 25, 2006",317224032,187040540,883157559,,,,
Avatar 2,2010,Kate Winslet,"Jun 30, 2015",317197804,535589648,2226218243,,,,
Toy Story 1,2011,Tim Allen,"Mar 09, 2000",317177009,566969097,812153452,,,,
Black Panther 3,1995,Lupita Nyong’o,"Nov 07, 2004",317054490,890058418,1180252868,,,,
Interstellar 2,2013,Matthew McConaughey,"Sep 23, 2020",316762233,895789890,2218819458,,,,
Avatar 1,1995,Zoe Saldana,"Jan 01, 2027",316546728,448796703,663967770,,,,
Frozen 4,2018,Kristen Bell,"Jul 30, 2001",316216449,390974981,2027080307,,,,
Joker 2,1995,Joaquin Phoenix,"Feb 28, 2021",315878432,323688544,2292544471,,,,
Black Panther 3,2007,Michael B. Jordan,"Apr 29, 2007",315558570,417338984,1994196563,,,,
Joker 4,2013,Joaquin Phoenix,"Nov 17, 2019",315333709,287755777,2258209272,,,,
Toy Story 1,2023,Tim Allen,"May 11, 2010",314964252,396092939,583407662,,,,
Frozen 1,2007,Kristen Bell,"Aug 12, 2011",314728338,296471265,1899802939,,,,
Titanic 2,2017,Leonardo DiCaprio,"Apr 19, 2016",314607847,351842505,1659156004,,,,
The Dark Knight 3,1995,Morgan Freeman,"Nov 12, 2026",314505800,443025115,678354318,,,,
Avengers 2,2013,Mark Ruffalo,"Oct 25, 2007",314208672,383857104,848778791,,,,
Joker 1,2023,Joaquin Phoenix,"Mar 16, 2004",313851447,477751939,1288423817,,,,
Inception 2,1998,Tom Hardy,"Oct 13, 2018",313552627,228228688,1075400437,,,,
Toy Story 4,2004,Tim Allen,"Mar 24, 2021",313461182,193340720,1784828438,,,,
Black Panther 4,2021,Chadwick Boseman,"Apr 15, 2025",313454947,548430310,2534957614,,,,
Frozen 3,1997,Kristen Bell,"Sep 02, 2016",313298750,225087093,290257871,,,,
Interstellar 4,2006,Jessica Chastain,"Mar 25, 1999",313236524,377850973,1919116278,,,,
Joker 3,2013,Joaquin Phoenix,"Oct 26, 2006",313198203,752114514,1195537637,,,,
Avatar 2,1999,Stephen Lang,"Jan 18, 2010",312877350,95125317,544064392,,,,
The Dark Knight 4,2004,Heath Ledger,"Jan 18, 1999",312652613,530652943,1324978748,,,,
Toy Story 3,2016,Annie Potts,"Feb 13, 1999",312645051,488916231,1104993213,,,,
Interstellar 1,2015,Jessica Chastain,"Aug 02, 2004",312129498,363773575,1928155506,,,,
Avengers 2,2008,Chris Hemsworth ,"Nov 11, 1998",311439274,631710732,968379305,,,,
Avatar 2,2016,Kate Winslet,"Jul 03, 2020",309879878,738906106,2726234083,,,,
Inception 1,2024,Ken Watanabe,"Oct 23, 2022",309699954,560669489,1038754548,,,,
Frozen 2,2004,Josh Gad,"Jun 27, 2014",309019224,813130021,1101013537,,,,
Interstellar 3,2018,Anne Hathaway,"Jan 12, 1999",308806693,213243881,443293887,,,,
