Movie ,Year ,value,Release Date,Production Budget,Domestic Gross,Worldwide Gross,,,,
Black Panther 4,2004,Lupita Nyong’o,"May 14, 2017",306373237,691956468,945665284,,,,
Black Panther 4,2005,Michael B. Jordan,"Jul 10, 2015",306143171,543039137,806916394,,,,
Titanic 2,2006,Kate Winslet,"Apr 27, 2005",305577717,823253328,1386933262,,,,
Interstellar 3,2006,Anne Hathaway,"Apr 10, 2026",305083074,601720379,968261631,,,,
Toy Story 2,2016,Tom Hanks,"Sep 23, 1999",305012529,285477275,931723549,,,,
Interstellar 4,2008,Anne Hathaway,"Jul 25, 2007",304682755,630265598,1577358663,,,,
Avatar 1,2009,Kate Winslet,"Jun 28, 2000",304595917,783960496,1170940839,,,,
Titanic 2,2001,Kate Winslet,"Mar 04, 2019",304444602,403229619,1388492501,,,,
Interstellar 1,2009,Jessica Chastain,"Dec 20, 1995",304179101,625413844,951459562,,,,
Joker 2,2014,Joaquin Phoenix,"Jun 07, 2020",303977455,69895050,100411190,,,,
Frozen 4,2014,Josh Gad,"Mar 12, 2005",302793633,70698647,572517553,,,,
Black Panther 1,2011,Lupita Nyong’o,"Sep 24, 2003",302454135,182472127,1457319651,,,,
Inception 4,2010,Tom Hardy,"Nov 01, 2001",302371601,753159464,2278886709,,,,
Titanic 4,2008,Kate Winslet,"Oct 17, 2003",301837434,324880288,1035258436,,,,
Titanic 3,2021,Leonardo DiCaprio,"Nov 11, 2013",301537077,181241812,1459859033,,,,
Toy Story 1,2016,Annie Potts,"Apr 19, 2024",300985616,569188945,1083033262,,,,
Black Panther 2,1996,Michael B. Jordan,"Apr 28, 2001",300807420,387205450,1192812165,,,,
Inception 4,2005,Ken Watanabe,"May 04, 2006",300756819,259624770,1465998424,,,,
Inception 4,2005,Elliot Page,"Mar 25, 1999",300604490,848557097,1847346391,,,,
Avatar 3,2004,Kate Winslet,"Sep 02, 1997",300253067,385922857,2120825186,,,,
Avatar 2,1999,Zoe Saldana,"Jul 25, 2002",300045892,593955531,2271172747,,,,
The Dark Knight 2,1995,Heath Ledger,"Mar 06, 2015",299832443,474454860,2452917375,,,,
Avatar 1,2002,Zoe Saldana,"May 14, 2011",299652835,667390309,1867219868,,,,
Avatar 1,2011,Kate Winslet,"Nov 12, 2009",299465943,444790349,1996262861,,,,
Joker 3,2021,Joaquin Phoenix,"May 25, 1998",299453624,515611864,1759495357,,,,
Black Panther 3,2000,Danai Gurira,"Feb 05, 2002",299152924,391134191,2314885449,,,,
Inception 1,1997,Ken Watanabe,"Jan 11, 2017",299099679,558128393,1906972819,,,,
Interstellar 3,2024,Matthew McConaughey,"Dec 09, 1995",298124280,381160931,531990123,,,,
Interstellar 3,1998,Jessica Chastain,"Jan 26, 2001",298025038,152690806,2014694114,,,,
Avengers 4,2015,Zoe Saldana,"Nov 12, 2008",297958847,787503140,2367384697,,,,
Titanic 1,1996,Kate Winslet,"Apr 13, 2001",297672949,168379825,1960225293,,,,
Toy Story 2,2017,Tim Allen,"Sep 12, 2024",297634521,159853112,1360567195,,,,
Avatar 2,2022,Kate Winslet,"Jan 18, 2007",297602940,82767541,446323624,,,,
Black Panther 4,2002,Chadwick Boseman,"Nov 14, 2009",297552857,239599537,368084400,,,,
Toy Story 4,2000,Annie Potts,"Feb 08, 2027",297192688,857948049,2305063101,,,,
Interstellar 2,2017,Anne Hathaway,"May 07, 2008",297152429,797690050,2608906370,,,,
Black Panther 4,2008,Chadwick Boseman,"May 15, 1995",297011280,567288010,931323926,,,,
Toy Story 3,2011,Tim Allen,"May 29, 2020",296881904,408645603,2236756197,,,,
Avengers 4,2018,Mark Ruffalo,"Mar 23, 2004",296797573,268354928,729746858,,,,
The Dark Knight 2,1996,Michael Caine,"May 12, 2006",296651158,368366427,1272932480,,,,
Inception 2,2011,Elliot Page,"Jul 31, 2002",296400216,360211448,1194409217,,,,
Avengers 4,2010,Mark Ruffalo,"Feb 16, 2006",294440097,850643937,971897569,,,,
Black Panther 1,2017,Danai Gurira,"Apr 25, 2010",294366440,101675843,1946977833,,,,
Frozen 3,2013,Idina Menzel,"Jan 29, 2022",294336650,288697182,760521085,,,,
Inception 1,2015,Joseph Gordon-Levitt,"Oct 15, 2003",294057454,74546061,1938361713,,,,
Frozen 3,1998,Josh Gad,"Jul 08, 2020",293691605,314860364,787558383,,,,
Joker 4,2013,Joaquin Phoenix,"Mar 28, 1999",292758026,431592126,859474232,,,,
Inception 2,1995,Tom Hardy,"Sep 12, 1998",292432168,565643019,2389513703,,,,
Interstellar 3,2001,Jessica Chastain,"Jun 11, 1999",292121033,589008661,2056637535,,,,
Black Panther 4,2017,Lupita Nyong’o,"Dec 29, 2013",291577876,332168146,1576187809,,,,
Interstellar 1,2009,Matthew McConaughey,"Oct 15, 2027",291155893,533170954,1139891785,,,,
Joker 4,2014,Joaquin Phoenix,"Aug 29, 2018",291067060,373304299,1152445960,,,,
Frozen 4,2006,Idina Menzel,"Jun 19, 2014",290742112,837573788,1943337745,,,,
Avengers 1,2024,Mark Ruffalo,"Jan 02, 2010",290427345,89776137,1491352885,,,,
Avengers 2,2012,Robert Downey Jr. ,"Dec 06, 2008",290339919,266976329,521020699,,,,
Interstellar 1,2012,Anne Hathaway,"Jun 08, 2010",290249242,65747609,863931975,,,,
Interstellar 4,2012,Jessica Chastain,"May 20, 2003",290077168,529846402,2298127943,,,,
Interstellar 1,1996,Matthew McConaughey,"May 03, 2001",289669406,769443130,1911839278,,,,
Joker 1,2006,Joaquin Phoenix,"Jan 05, 2020",289646002,687279749,1363269986,,,,
Joker 1,2006,Joaquin Phoenix,"Apr 29, 2009",288585064,894844343,2494693456,,,,
Interstellar 4,2017,Michael Caine,"Nov 10, 2026",288403473,64308942,1428154194,,,,
The Dark Knight 4,1999,Morgan Freeman,"Apr 15, 2024",288327281,867467516,1810374642,,,,
The Dark Knight 2,2008,Christian Bale,"May 13, 2006",288282364,498248130,1328317282,,,,
Inception 2,2002,Elliot Page,"May 30, 2025",288135373,253172365,1267752279,,,,
Avatar 4,2022,Zoe Saldana,"Mar 27, 2014",288019286,113967054,897684804,,,,
Joker 4,1997,Joaquin Phoenix,"Nov 06, 2020",287557204,266887064,327089261,,,,
Inception 3,1997,Leonardo DiCaprio,"May 16, 2008",287455979,191309388,1622092082,,,,
Interstellar 3,2011,Jessica Chastain,"Jul 15, 2006",286152810,713839523,1454531783,,,,
Inception 3,2001,Elliot Page,"Mar 21, 2005",286064938,708182554,815690457,,,,
Inception 4,2002,Tom Hardy,"Mar 15, 2011",285551897,84944281,490320085,,,,
The Dark Knight 4,2021,Michael Caine,"Jun 24, 2007",284103489,349109053,531557572,,,,
Avengers 2,2008,Mark Ruffalo,"Oct 09, 2003",284043283,279719839,1460564600,,,,
Frozen 3,2004,Jonathan Groff,"Sep 17, 2023",283885046,326564080,1155484247,,,,
Interstellar 1,2016,Jessica Chastain,"Mar 14, 2027",283795820,252175579,837276032,,,,
Titanic 4,2020,Leonardo DiCaprio,"Jun 09, 1997",283110736,721201350,1972884701,,,,
The Dark Knight 4,2016,Heath Ledger,"Jan 05, 2021",283034688,780001396,2163204687,,,,
Joker 3,1995,Joaquin Phoenix,"Feb 28, 2023",282583250,831259071,2071580633,,,,
The Dark Knight 4,2023,Gary Oldman,"Nov 01, 2006",282504652,774041920,879844753,,,,
Avengers 2,2010,Chris Evans ,"Nov 07, 1999",281723550,631465041,2059447101,,,,
Toy Story 1,2005,Tom Hanks,"Dec 20, 2001",281489978,233449379,529892186,,,,
Avatar 1,2009,Sam Worthington,"Mar 15, 2003",281052679,152432376,1259035806,,,,
Interstellar 2,2010,Anne Hathaway,"Mar 09, 2003",280859683,859577517,2099017914,,,,
Inception 2,2003,Ken Watanabe,"Aug 07, 1997",280806510,210085257,805763580,,,,
Black Panther 4,2002,Michael B. Jordan,"Dec 27, 2010",280800690,629608710,1739425103,,,,
Toy Story 3,2008,Annie Potts,"Nov 12, 2009",280765865,377114986,2188964461,,,,
Toy Story 1,2018,Tom Hanks,"Feb 20, 2016",280163507,56070244,1336004850,,,,
Inception 3,2009,Leonardo DiCaprio,"Feb 01, 2012",280055387,170336541,1702691557,,,,
The Dark Knight 3,1996,Michael Caine,"Jul 22, 2023",279731903,95334250,453319899,,,,
Frozen 4,2015,Kristen Bell,"Nov 14, 2009",279216423,429865219,614546702,,,,
Frozen 4,2017,Kristen Bell,"Dec 26, 2011",278828578,621137576,956362574,,,,
Inception 4,2002,Leonardo DiCaprio,"Feb 23, 2009",278391117,673306237,2593840790,,,,
Titanic 1,2005,Kate Winslet,"Mar 23, 2010",277018744,745519416,1760944782,,,,
Avengers 3,1997,Mark Ruffalo,"Apr 16, 2016",276830778,690789377,921990334,,,,
Toy Story 1,2004,Annie Potts,"Apr 14, 2027",276162518,315624484,2303567899,,,,
Frozen 3,2018,Idina Menzel,"Aug 05, 2006",276088909,687357680,708871871,,,,
Toy Story 1,2011,Tim Allen,"Jul 18, 2027",276047192,802188251,2661438957,,,,
Toy Story 2,2012,Tim Allen,"Aug 31, 2000",275446218,690023598,2420373823,,,,
Toy Story 1,2023,Annie Potts,"Sep 12, 2014",275265786,664104539,2175003823,,,,
Joker 2,2012,Joaquin Phoenix,"Oct 31, 2002",274162652,609848781,1989444828,,,,
The Dark Knight 1,2004,Gary Oldman,"Jan 11, 2004",274022979,288461234,780581185,,,,
The Dark Knight 2,2002,Morgan Freeman,"Mar 29, 2015",273008444,280708467,2137037745,,,,
Frozen 4,2009,Kristen Bell,"May 04, 2025",272836700,860140314,2424172209,,,,
Avatar 4,2020,Zoe Saldana,"Sep 28, 2013",272135372,57675101,659808912,,,,
Frozen 3,2004,Jonathan Groff,"Apr 18, 2004",272110479,781878899,2060065798,,,,
Interstellar 2,2018,Michael Caine,"May 31, 2010",271740238,128679992,1281847292,,,,
Inception 2,2020,Tom Hardy,"Oct 20, 2002",271660311,784796705,1321238041,,,,
Titanic 4,2024,Leonardo DiCaprio,"Aug 28, 1998",270634140,796518792,1487279250,,,,
The Dark Knight 3,2020,Gary Oldman,"Nov 15, 2008",269966627,228798873,2025903218,,,,
Black Panther 4,2016,Letitia Wright,"Mar 27, 2012",269899217,291030605,511591474,,,,
Joker 2,2015,Joaquin Phoenix,"Apr 07, 2014",269406841,800135942,1215385238,,,,
The Dark Knight 4,2021,Heath Ledger,"Oct 15, 2004",267806961,843121946,1670154378,,,,
Titanic 4,2009,Kate Winslet,"Jun 20, 2018",267566582,231266521,2018433336,,,,
Toy Story 2,2007,Tim Allen,"May 22, 2014",267530269,228496244,331358011,,,,
Avengers 1,2005,Chris Hemsworth ,"Sep 05, 2013",267471999,632616635,1245967982,,,,
The Dark Knight 4,2019,Morgan Freeman,"May 23, 2004",266758319,459364969,858065867,,,,
The Dark Knight 3,2010,Morgan Freeman,"Dec 05, 2016",266674770,581980041,1624530542,,,,
Titanic 2,2011,Leonardo DiCaprio,"Mar 04, 2021",266423843,728437541,1060560040,,,,
Avatar 3,2020,Sam Worthington,"Oct 02, 2007",266180396,59840208,1598699793,,,,
Avatar 3,2009,Zoe Saldana,"Apr 07, 2015",265855844,141717859,1986813451,,,,
Frozen 4,2002,Josh Gad,"Feb 04, 2001",265548049,524069360,2013706448,,,,
Joker 3,1997,Joaquin Phoenix,"Nov 28, 2002",265439773,183438414,1047086425,,,,
Joker 3,2022,Joaquin Phoenix,"May 17, 2015",264932653,521851630,1760296245,,,,
Titanic 2,1998,Kate Winslet,"Jan 03, 1997",263636199,519970681,753415148,,,,
Frozen 3,2000,Kristen Bell,"Jan 24, 2015",263629609,165417175,899198431,,,,
Avengers 3,2006,Zoe Saldana,"Oct 26, 2025",263201827,605894795,975218562,,,,
Inception 4,2009,Leonardo DiCaprio,"Apr 04, 2013",262597892,444121195,1105351179,,,,
Interstellar 3,2019,Jessica Chastain,"Feb 07, 2027",262410329,622259993,1312753559,,,,
Avatar 3,2021,Sam Worthington,"Sep 10, 2026",261002957,423562637,514356768,,,,
Avatar 4,2018,Kate Winslet,"May 20, 2018",260892976,77837942,1026971125,,,,
Joker 1,2023,Joaquin Phoenix,"Dec 08, 2010",259593645,311185816,1744404638,,,,
Titanic 1,2001,Leonardo DiCaprio,"Jun 10, 2014",258912919,863596005,1509801029,,,,
Titanic 3,2001,Kate Winslet,"Sep 18, 2020",258557034,582722995,1432073216,,,,
The Dark Knight 2,1999,Michael Caine,"Jan 17, 2004",258163512,838043495,851379816,,,,
Interstellar 4,2005,Matthew McConaughey,"Oct 22, 2023",257513880,828069176,1865108735,,,,
Toy Story 4,2019,Annie Potts,"Mar 12, 2008",257396811,309057113,1709563299,,,,
Avengers 3,1998,Jeremy Renner ,"May 26, 2014",256926478,135031353,718918447,,,,
Frozen 3,2015,Kristen Bell,"Oct 30, 2017",255819481,253621059,1621453040,,,,
Titanic 2,2021,Leonardo DiCaprio,"Aug 05, 2017",255259145,752530361,1657892558,,,,
The Dark Knight 2,2004,Christian Bale,"May 12, 2024",253877685,352894527,1301918204,,,,
Titanic 3,2002,Leonardo DiCaprio,"Dec 14, 2000",253813608,722817160,1414992629,,,,
Avatar 3,2019,Stephen Lang,"Apr 27, 2004",253151775,92359794,1190994597,,,,
Toy Story 2,2019,Annie Potts,"May 30, 2001",252268963,257193964,1398660852,,,,
Avengers 2,2019,Mark Ruffalo,"Jan 04, 2025",252076230,512421867,557806262,,,,
Titanic 4,2013,Kate Winslet,"Jul 24, 2020",251734146,785754570,1338249765,,,,
Frozen 1,2000,Idina Menzel,"Oct 13, 2027",251376726,846872968,1664805809,,,,
Joker 1,1998,Joaquin Phoenix,"Jun 29, 2025",251217223,341934229,1737884393,,,,
Joker 4,2013,Joaquin Phoenix,"May 17, 2027",250970035,200822658,1900559844,,,,
Frozen 3,2018,Jonathan Groff,"Dec 08, 2001",250678782,163969168,1881037896,,,,
Toy Story 3,2001,Tim Allen,"May 05, 2001",250208180,91005761,364851090,,,,
Toy Story 3,2005,Tim Allen,"Nov 07, 2003",249764705,554330625,1510671097,,,,
Toy Story 3,2019,Tom Hanks,"Nov 14, 2004",248793393,737682666,1089730798,,,,
Titanic 1,2010,Kate Winslet,"Sep 06, 2012",248211439,723218612,2202393485,,,,
Avatar 4,1995,Stephen Lang,"Feb 26, 2013",248158489,99482136,276920466,,,,
Frozen 2,1995,Jonathan Groff,"Nov 05, 2026",247691802,457007087,1169783837,,,,
Joker 2,2018,Joaquin Phoenix,"Jan 29, 2027",247657316,473015520,700429592,,,,
Avatar 3,2019,Kate Winslet,"Sep 23, 2013",247180974,808067947,2522338039,,,,
Toy Story 1,2019,Tom Hanks,"Mar 09, 2008",246406761,101798517,1731456275,,,,
Toy Story 3,2016,Tom Hanks,"Oct 03, 2007",246139358,544151802,2100337575,,,,
Avengers 1,2020,Chris Hemsworth ,"Sep 04, 2008",245411087,762151779,1308396796,,,,
Frozen 1,1996,Jonathan Groff,"Nov 01, 2005",245023125,244076108,1496890114,,,,
Avengers 1,1999,Robert Downey Jr. ,"Sep 16, 2011",243618083,770157657,1135463672,,,,
Toy Story 1,2021,Tim Allen,"Nov 01, 2011",243606895,437088518,1767297473,,,,
The Dark Knight 1,2022,Heath Ledger,"Jul 13, 2018",243524342,854167936,914207032,,,,
Titanic 1,1995,Kate Winslet,"Jul 09, 2025",243309137,724791721,1312427284,,,,
Avatar 1,2018,Kate Winslet,"Jun 25, 2008",243218736,263727600,1174801041,,,,
Avatar 4,2000,Stephen Lang,"Jul 11, 2000",243101299,796962967,1115068072,,,,
Black Panther 4,2010,Michael B. Jordan,"Sep 09, 2011",242430692,894293377,1627333941,,,,
Black Panther 1,2004,Danai Gurira,"Jun 16, 2019",242396793,607683775,1115290914,,,,
Toy Story 1,2017,Tom Hanks,"Aug 22, 2019",241933336,275401346,753005953,,,,
Frozen 3,2014,Kristen Bell,"Apr 27, 2022",241911330,247400960,363645819,,,,
Black Panther 2,2004,Chadwick Boseman,"Jan 31, 2001",241700118,673320643,1602814570,,,,
Frozen 4,2004,Jonathan Groff,"Jan 28, 2011",240790510,667656412,1580389544,,,,
Avengers 2,2009,Mark Ruffalo,"Sep 08, 2015",240613978,625047680,963282916,,,,
Avatar 1,1995,Stephen Lang,"Nov 12, 2026",240274482,112043938,1281518519,,,,
Avatar 1,2008,Zoe Saldana,"Aug 28, 2000",240019169,646764350,1908355313,,,,
Joker 2,2003,Joaquin Phoenix,"Jul 26, 2014",238315984,347186241,512851749,,,,
Black Panther 4,2007,Lupita Nyong’o,"Jul 21, 1997",238305384,869616075,2213464374,,,,
The Dark Knight 2,1998,Heath Ledger,"Dec 25, 2013",238221986,619718353,1290129967,,,,
Joker 1,2004,Joaquin Phoenix,"Nov 12, 1997",237394655,889606000,1193492119,,,,
Frozen 4,2004,Jonathan Groff,"May 15, 2018",237335966,506341866,1954749129,,,,
Interstellar 3,2002,Michael Caine,"Oct 28, 2018",237312555,206548860,907344460,,,,
Avatar,2009,Sam Worthington,"Dec 17, 2009",237000000,760507625,2788701337,,,,
Frozen 3,2017,Josh Gad,"May 25, 2006",236423263,417972244,2207301813,,,,
Avengers 3,2019,Chris Hemsworth ,"Oct 13, 2004",236270594,68510243,572139578,,,,
Inception 2,2005,Tom Hardy,"Dec 31, 2009",235309864,323179840,614458062,,,,
Titanic 4,2022,Leonardo DiCaprio,"Jul 12, 2017",235077184,86234702,1533655831,,,,
Avatar 3,2024,Kate Winslet,"Apr 15, 2008",234819015,773288829,1147406474,,,,
Inception 4,1995,Elliot Page,"Oct 24, 2006",234711581,654163161,2124286040,,,,
Titanic 2,2007,Leonardo DiCaprio,"Mar 28, 2015",234352974,423185197,960889964,,,,
Interstellar 3,2024,Matthew McConaughey,"Mar 22, 2006",234074481,890228473,2559989509,,,,
Frozen 4,2022,Idina Menzel,"Apr 18, 2024",233861193,452902640,1189948590,,,,
Black Panther 2,1995,Michael B. Jordan,"Sep 13, 2007",233806399,360692757,1383174344,,,,
Avatar 3,1999,Stephen Lang,"Nov 09, 2010",233796566,76718807,1984535933,,,,
Avatar 2,1996,Stephen Lang,"Mar 10, 1996",233501733,656841844,1136190547,,,,
Toy Story 1,2015,Annie Potts,"Feb 11, 2019",233266161,759269704,1735146077,,,,
Frozen 2,2006,Idina Menzel,"Jul 02, 2010",232740694,101570575,1322716370,,,,
The Dark Knight 3,2008,Christian Bale,"Apr 26, 1999",232284624,402589057,743431366,,,,
Inception 3,2007,Joseph Gordon-Levitt,"Sep 02, 2015",231672105,456411403,2087669743,,,,
Avengers 2,2013,Chris Hemsworth ,"May 25, 1996",231306557,778208717,826553729,,,,
Black Panther 2,2015,Danai Gurira,"Apr 18, 1995",230945715,834867499,1894395097,,,,
Joker 3,1999,Joaquin Phoenix,"Feb 11, 2009",230524306,646522848,1237470892,,,,
Avatar 1,2024,Kate Winslet,"Oct 06, 1995",230280468,469403698,1758218901,,,,
Joker 4,2015,Joaquin Phoenix,"Sep 04, 2008",230088707,887557245,2601019908,,,,
Avatar 3,2007,Sam Worthington,"Nov 14, 2015",230084456,680608384,2553677166,,,,
Frozen 1,2009,Idina Menzel,"Oct 09, 2017",229406834,696766506,1197797617,,,,
Toy Story 3,2019,Tom Hanks,"Feb 11, 1999",228721070,443267366,1047117885,,,,
Black Panther 4,2021,Michael B. Jordan,"Jan 03, 1998",228462920,530771767,940132190,,,,
Black Panther 2,2001,Chadwick Boseman,"Aug 18, 2017",228175995,606805676,1033541952,,,,
Inception 3,2021,Elliot Page,"Mar 20, 2004",227721249,253601809,348687470,,,,
Avengers 1,2019,Robert Downey Jr. ,"Dec 30, 2020",227307794,810225395,1190784240,,,,
Interstellar 1,2003,Matthew McConaughey,"May 28, 2015",226793689,661219887,726942746,,,,
Toy Story 3,2003,Tim Allen,"Mar 26, 2002",226711416,657791111,804255697,,,,
Inception 3,2009,Elliot Page,"Nov 04, 2016",226611100,221372339,1804672110,,,,
Black Panther 2,2022,Lupita Nyong’o,"Jul 15, 2021",226139437,710835466,1139413587,,,,
The Dark Knight 4,2010,Gary Oldman,"Jul 07, 2017",225909687,202009852,1979027341,,,,
Joker 3,2014,Joaquin Phoenix,"Oct 20, 2002",225868077,280381003,342825502,,,,
Black Panther 2,2012,Lupita Nyong’o,"Mar 14, 2026",225644669,500107545,1535234294,,,,
The Dark Knight 3,2011,Christian Bale,"Aug 11, 2026",225172526,512392420,1488360371,,,,
Black Panther 3,1998,Chadwick Boseman,"Jul 25, 2022",224809583,543765717,2429687855,,,,
Interstellar 3,2024,Jessica Chastain,"May 23, 1995",224781630,708646201,1939894176,,,,
Interstellar 3,2004,Matthew McConaughey,"Nov 27, 2010",224754543,105966858,1029453758,,,,
Titanic 2,2008,Kate Winslet,"Dec 23, 1995",224540019,631204966,1433576359,,,,
Toy Story 2,2008,Tim Allen,"Jun 01, 2007",224474840,746298708,1940681406,,,,
Interstellar 3,2012,Matthew McConaughey,"Oct 15, 2003",224409163,64046692,1212872196,,,,
Black Panther 1,2004,Letitia Wright,"Aug 19, 2019",224192342,592479997,1752534423,,,,
The Dark Knight 2,2022,Heath Ledger,"Apr 03, 1999",224163493,837574216,1044212276,,,,
Titanic 3,2018,Kate Winslet,"Oct 17, 2000",224160888,853927216,2235065030,,,,
Interstellar 1,2001,Jessica Chastain,"Dec 29, 2005",224113436,265075999,1711334831,,,,
Black Panther 4,2009,Danai Gurira,"Aug 14, 2008",223779408,195101431,1479815656,,,,
Interstellar 1,2001,Anne Hathaway,"Nov 08, 2007",223734217,520128057,2074169453,,,,
Avatar 4,2021,Sam Worthington,"Nov 16, 2023",223410772,837952126,1526978810,,,,
Frozen 1,2016,Jonathan Groff,"Apr 30, 2018",223385852,661447256,2094410454,,,,
Toy Story 1,2017,Annie Potts,"Mar 12, 2020",223066912,602225538,1991665450,,,,
Interstellar 3,2009,Jessica Chastain,"Dec 27, 2019",222903703,809188184,2725836253,,,,
Interstellar 1,1999,Michael Caine,"Mar 25, 2025",222689803,309136304,1434718038,,,,
Toy Story 4,2005,Annie Potts,"Jun 21, 2025",222545188,740004102,903592128,,,,
Inception 2,2016,Ken Watanabe,"Feb 09, 2011",222310754,107402097,1725442909,,,,
Avatar 3,2012,Zoe Saldana,"Sep 04, 2004",221162571,183929928,1750743265,,,,
The Dark Knight 1,1998,Michael Caine,"May 21, 1996",221015532,509802075,2035816773,,,,
Joker 2,2001,Joaquin Phoenix,"Jun 24, 2006",220990619,150413979,2001514726,,,,
Titanic 1,2004,Leonardo DiCaprio,"Apr 02, 2027",219867329,156206633,820560569,,,,
Avatar 3,2006,Stephen Lang,"Dec 03, 2010",219202247,424671422,1572755783,,,,
The Dark Knight 2,2017,Michael Caine,"Aug 21, 1999",219151795,662958925,1548919868,,,,
Interstellar 4,2018,Anne Hathaway,"Sep 02, 2022",218681926,453199709,1140799486,,,,
Titanic 4,2021,Kate Winslet,"Oct 25, 2020",218252050,342845811,1376955664,,,,
Black Panther 4,2019,Lupita Nyong’o,"Jan 15, 2008",216080410,587808099,1593189225,,,,
Toy Story 1,2009,Annie Potts,"Nov 24, 2014",215604944,769898733,1731900259,,,,
Titanic 1,2020,Kate Winslet,"Apr 08, 2003",214914734,500518434,669863356,,,,
The Dark Knight 2,2014,Christian Bale,"Jul 01, 1995",214852561,647804047,1596183108,,,,
Avatar 2,2023,Kate Winslet,"Mar 20, 2003",214345396,357696569,1839450754,,,,
